Model,Short_Prec,Short_Rec,Short_F1,Long_Prec,Long_Rec,Long_F1,Macro_F1,Weighted_F1
LGB-XGB Blend,0.881792100153592,0.8977576711250983,0.8897032665532819,0.8724495429728237,0.8531783168958318,0.862706322679268,0.876204794616275,0.8775423416880005
LightGBM,0.881472323903532,0.8975708103855232,0.8894487298810527,0.8721913387082919,0.8527583807261296,0.862365395698729,0.8759070627898908,0.8772488900166016
XGBoost,0.8808341800938695,0.8951711250983477,0.8879447845279613,0.8695205102153236,0.852254457322487,0.860800911310797,0.8743728479193791,0.8757176745155426
Stacking Ensemble,0.8763781125293498,0.8920043273013375,0.884122179818982,0.8653183373603326,0.8464953327094281,0.8558033466966685,0.8699627632578253,0.8713658025238324
GradientBoosting,0.868856074407901,0.8911585365853658,0.8798659999028985,0.8629236028537456,0.8359009430566554,0.8491973525432406,0.8645316762230695,0.8660511355982167
HistGradientBoosting,0.86565200691377,0.8865952006294257,0.8759984452434165,0.857441337190614,0.8321335157056128,0.8445978859174826,0.8602981655804496,0.8618538870862965
Random Forest,0.8605715711489003,0.8819335169158143,0.8711216024557518,0.8514637103758878,0.8256784968684759,0.8383728863115832,0.8547472443836674,0.856369759494482
CatBoost,0.8561939301393395,0.8822974036191975,0.8690496948561465,0.8508586097749421,0.819211479855062,0.834735194875055,0.8518924448656007,0.8535925357789137
DNN (PyTorch),0.8443359112629296,0.8654110936270653,0.854743610914142,0.8306479556479557,0.8053535862548893,0.8178052316726976,0.8362744212934198,0.8381045106998075
DecisionTree,0.843605922051145,0.8691679779701023,0.856196201335975,0.8342615087522581,0.8034218798742591,0.8185513198990287,0.8373737606175018,0.8392388532430382
AdaBoost,0.8256429151786557,0.8594708890637294,0.8422173607162476,0.8195377620611265,0.7785736568041658,0.7985306966270013,0.8203740286716245,0.8225384577232502
Logistic Regression,0.8134758471799222,0.8300845790715972,0.821696294709788,0.7874123292727944,0.7677992945072349,0.7774821402536813,0.7995892174817347,0.8017797807209505
