Attribute,Metric,Mean,Std,CV,Min,Max,Range,Pct_Fair
RACE,DI,0.5854250369329363,0.16497739774552256,0.2818078956954853,0.14138119650618064,0.7868357999569633,0.6454546034507826,0.0
RACE,SPD,0.22679993498001422,0.09468999802172219,0.4175045201404769,0.11288335866460147,0.5108195076557562,0.39793614899115476,0.0
RACE,EOPP,0.19286567370655774,0.12486665345729928,0.6474280832745906,0.03486476472767697,0.605526934707134,0.5706621699794571,25.0
RACE,EOD,0.24502075503239765,0.1295644820523926,0.5287898244998105,0.08687258687258681,0.605526934707134,0.5186543478345472,10.0
RACE,TI,0.0409521419366868,0.02470569029641744,0.6032820049953225,0.014314328504450406,0.10669460294363367,0.09238027443918326,95.0
RACE,PP,0.1517281737117655,0.07662658155707036,0.5050253995848926,0.06793275217932748,0.41911599931875837,0.3511832471394309,30.0
RACE,CAL,0.549010819413611,0.164694100723287,0.29998334258547754,0.18151529478367515,0.8532370331457207,0.6717217383620456,0.0
SEX,DI,0.7623821089854628,0.0947843924148726,0.1243266221724518,0.5702052192445906,0.9249438961379175,0.35473867689332694,35.0
SEX,SPD,0.1253749849828079,0.04862139786742425,0.38780780611133453,0.038070696475677734,0.24455658427821736,0.20648588780253962,30.0
SEX,EOPP,0.04789230879739557,0.0262189346624304,0.5474560596639311,0.015371486832468473,0.10654083935418934,0.09116935252172087,90.0
SEX,EOD,0.06897481793532548,0.02520991164400289,0.3654944282367091,0.02013161144835776,0.12451710846849051,0.10438549702013275,85.0
SEX,TI,0.004906161409663061,0.0034651433154169083,0.7062840021104978,0.000107354485824801,0.011661910567434403,0.011554556081609602,100.0
SEX,PP,0.012920506308688184,0.014532721405357529,1.12477956034782,0.0017540664941820827,0.060132280566855045,0.05837821407267296,100.0
SEX,CAL,0.1253216215628489,0.04849759239384946,0.38698503729085465,0.030647501568892788,0.22424925438837234,0.19360175281947956,5.0
ETHNICITY,DI,0.8233931640854756,0.10098780396872113,0.12264833906033946,0.6401605948456245,0.9923693216607579,0.3522087268151334,55.00000000000001
ETHNICITY,SPD,0.08451029154949943,0.04908186527699144,0.5807797414619398,0.004071563416059409,0.16670153160461615,0.16262996818855674,55.00000000000001
ETHNICITY,EOPP,0.04396620055679235,0.033245056383087036,0.7561503146068644,0.0020030935128508842,0.11799562344833636,0.11599252993548548,95.0
ETHNICITY,EOD,0.06247777088656685,0.030700432572001682,0.4913816888208232,0.013524846804782213,0.11799562344833636,0.10447077664355414,90.0
ETHNICITY,TI,0.009159480050336405,0.007971542086464714,0.8703050874784032,0.001394864294383777,0.03538061575625745,0.03398575146187367,100.0
ETHNICITY,PP,0.03364663595860205,0.03287094926561767,0.9769460847753467,0.0020804119066695215,0.1237093134655467,0.12162890155887718,95.0
ETHNICITY,CAL,0.15146522515168725,0.06421328615989332,0.42394738525351877,0.04346010224710933,0.3317504075199428,0.28829030527283345,5.0
AGE_GROUP,DI,0.2986454137978315,0.08209732415922098,0.2748989951501378,0.16062243861863412,0.4635255901190875,0.3029031515004534,0.0
AGE_GROUP,SPD,0.43528844771757835,0.05354556403270773,0.12301168182494218,0.33502427845701194,0.5667136674497113,0.23168938899269936,0.0
AGE_GROUP,EOPP,0.2632071678406912,0.08863812645598751,0.3367618259911395,0.1086310109699028,0.4869699279487831,0.3783389169788803,0.0
AGE_GROUP,EOD,0.27251525038659846,0.07912539510942129,0.29035217294141,0.15469370062923546,0.4869699279487831,0.33227622731954765,0.0
AGE_GROUP,TI,0.020759958549003546,0.010712955805131881,0.5160393639440137,0.006824842941744416,0.04679200410909344,0.039967161167349025,100.0
AGE_GROUP,PP,0.15996754881426214,0.0886672606800283,0.5542827988380293,0.05482617222321273,0.3477751058953082,0.29294893367209546,35.0
AGE_GROUP,CAL,0.2706388993164632,0.09321536237800787,0.3444270672598671,0.12433978873623364,0.4275500283397054,0.30321023960347177,0.0
