Model,Attribute,DI,SPD,EOPP,EOD,TI,PP,CAL,N_Fair,Fair_DI
Logistic Regression,RACE,0.5504904937727857,0.22478386516659887,0.1693096547465479,0.1693096547465479,0.006629933152151393,0.06972818483290388,0.21874659723855686,2,N
Logistic Regression,SEX,0.6838548444643825,0.1736228770412399,0.08678892950084782,0.13073222121670083,0.009588906396446037,0.025480292345473776,0.09205256422857272,3,N
Logistic Regression,ETHNICITY,0.7599969334403212,0.1128345964047841,0.06740693225393513,0.07251680603727571,0.00023613815171993902,0.015499525682472148,0.0778603048813373,4,N
Logistic Regression,AGE_GROUP,0.46837357444998684,0.33541116324934234,0.17474558960728948,0.19573377485958027,0.011672781547181196,0.05753116888326815,0.08196770461079839,2,N
Random Forest,RACE,0.6327925958812882,0.18256522854915447,0.08305933548652,0.08305933548652,0.005580594687957199,0.08247394702561883,0.10507279403436443,4,N
Random Forest,SEX,0.749218067248665,0.13022712924252855,0.04617804168552542,0.060646293406846546,0.003074822118997178,0.002046700537876478,0.04243136725207042,5,N
Random Forest,ETHNICITY,0.8171910576794189,0.08406228754737927,0.035772818304605325,0.035772818304605325,0.000792913864775778,0.005878962280276068,0.041452455829548596,7,Y
Random Forest,AGE_GROUP,0.48159805387009624,0.32177168520882204,0.1367983016946922,0.13991217461505762,0.0042017835947511795,0.031437348754411176,0.04493318445630767,3,N
HistGradientBoosting,RACE,0.6424391182111624,0.1774450488010405,0.0729076748494224,0.0729076748494224,0.005195890918543784,0.09116190864569074,0.12015777471585978,4,N
HistGradientBoosting,SEX,0.7515160996425142,0.12891294799617137,0.04354690713291465,0.058163188290282164,0.0033053121037578126,0.001627109684215533,0.033557982329286085,5,N
HistGradientBoosting,ETHNICITY,0.8266932019113457,0.07953805801287978,0.028216099799165284,0.028316949521899087,0.0015092603425914466,0.007585031136375764,0.029197212576363096,7,Y
HistGradientBoosting,AGE_GROUP,0.48392695943229874,0.3199746578840202,0.13003402865628277,0.13613371344901515,0.004732744768210687,0.027496199532336063,0.034377660550973466,3,N
XGBoost,RACE,0.6490983425129728,0.1784279098581546,0.04028121909736704,0.04028121909736704,0.005425412289892545,0.07889702069847648,0.1744153077403704,4,N
XGBoost,SEX,0.763119071801028,0.12304346623395823,0.03390124997728117,0.04956850873943318,0.005007639449063982,0.0041294705615266825,0.022195454119766644,5,N
XGBoost,ETHNICITY,0.8316517964358102,0.07792018755685914,0.017783780706793095,0.029470661461813277,0.002782199714429459,0.0014053415083032927,0.031891003849710886,7,Y
XGBoost,AGE_GROUP,0.5054495728643453,0.3043723103542235,0.10534719765805989,0.11019717844473732,0.005146158884035364,0.03649820672333215,0.015963175198593083,3,N
LightGBM,RACE,0.6699374590725873,0.1667627414158535,0.05530068636864749,0.05530068636864749,0.005390741856722073,0.11545247788972479,0.26916697882263485,3,N
LightGBM,SEX,0.7622935648903884,0.12335314999549812,0.03472251622572409,0.04880537868236154,0.004533406039590536,0.003995127495716955,0.02711785326991123,5,N
LightGBM,ETHNICITY,0.8297344284675453,0.07872653603346147,0.020458645417427035,0.028587532201523103,0.002430873451807203,0.002142422854287007,0.024604465375319018,7,Y
LightGBM,AGE_GROUP,0.5036214192295688,0.30545988942779334,0.10452518309432901,0.11159600750960923,0.004852507153587711,0.032493205512562295,0.018133553996855567,3,N
AdaBoost,RACE,0.6343938420867148,0.17564439009978516,0.12647546628129147,0.12647546628129147,0.0035692089417712625,0.12106020188365652,0.18825533504318825,1,N
AdaBoost,SEX,0.6981979543990751,0.15967001949776732,0.08154023638980445,0.09999517881601094,0.0032741065125940876,0.016244663135562498,0.19956339193161846,4,N
AdaBoost,ETHNICITY,0.7841483526981422,0.09817529036913947,0.054833515161864965,0.054833515161864965,0.001238607349662177,0.005269219934572411,0.18406472107789595,5,N
